因子,Mean_IC,Std_IC,IR,IC正比例,多空年化收益,多头年化,空头年化,Sharpe,FM_tstat
beta_z,0.027894,0.178124,0.1566,0.5595,-0.032267,0.4864034001762311,0.518670156003125,-0.149,0.3466
cvar_95_z,0.027924,0.31228,0.0894,0.5,-0.053381,0.3488551437544945,0.40223660562377644,-0.1594,-0.1609
var_95_z,0.017148,0.319536,0.0537,0.4821,-0.105385,0.3423308144351245,0.44771608670253554,-0.3113,-0.2803
size_z,-0.015336,0.278941,-0.055,0.4978,-0.526116,-0.02540378739423666,0.5007120961351655,-1.8139,-2.1572
dsl_factor_z,-0.015336,0.278941,-0.055,0.4978,-0.526116,-0.02540378739423666,0.5007120961351655,-1.8139,-2.1572
cokurtosis_z,-0.018995,0.201898,-0.0941,0.4643,-0.040159,0.45093957834385556,0.4910990546871503,-0.1799,-0.4877
coskewness_z,-0.022074,0.234159,-0.0943,0.4286,-0.338939,0.3150334529463038,0.6539729424524543,-1.2561,-1.5829
ulcer_index_z,-0.021628,0.199652,-0.1083,0.4438,-0.156515,0.29179591804613897,0.44831094917494485,-0.7197,-0.8009
ivol_capm_z,-0.05288,0.334875,-0.1579,0.4587,-0.262317,-0.23058409378966965,0.03173275831059835,-0.786,-0.8144
max_ret_1m_z,-0.047134,0.249546,-0.1889,0.4266,0.045627,0.2653687390234725,0.21974157339317096,0.1552,-0.2309
st_reversal_1m_z,-0.053706,0.259128,-0.2073,0.4709,-0.280629,0.21277129253481236,0.4934004027985341,-0.8801,-0.7427
